성서번호	성서	장	절	문장
1	창세기	35	4	그들은 자기들에게 있는 남의 나라 신들과 귀에 걸고 있던 귀고리를 모두 야곱에게 내놓았다. 야곱은 세겜 근처 느티나무 밑에 그것들을 모두 묻었다.
1	창세기	35	5	그리고 그들은 그 길로 떠났다. 그러나 신비한 두려움이 주위에 있는 도시들을 휘어잡아서 아무도 야곱의 자손들을 추격하지 못했다.
1	창세기	35	6	야곱은 자기에게 딸린 사람들을 데리고 가나안 땅 루즈에 이르렀다. 이 루즈가 곧 베델이다.
1	창세기	35	7	야곱은 거기에 제단을 쌓고 그 곳 이름을 엘베델이라 하였다. 야곱이 형을 피해 갈 때 하느님께서 그 곳에서 그에게 나타나셨던 것이다.
1	창세기	35	8	베델 아래쪽 상수리나무 밑에는 리브가의 유모 드보라가 묻혀 있었다. 그래서 사람들은 그 곳을 알론바긋이라는 이름으로 불렀다.
1	창세기	35	9	야곱이 바딴아람에서 돌아오는데 하느님께서 다시 그에게 나타나셔서 복을 주시고
1	창세기	35	10	"말씀하셨다. ""네 이름은 야곱이었다. 그러나 이제부터는 야곱이 아니라 이스라엘이라 부를 것이다."" 이리하여 그의 이름을 이스라엘이라 부르게 되었다."
1	창세기	35	11	"하느님께서 이어 말씀하셨다. ""나는 전능한 하느님이다. 너는 많이 낳아 번성하거라. 너에게서 한 민족이, 아니 여러 민족이 모인 집단이 나리라. 네 후손 가운데서 왕들이 태어나리라."
1	창세기	35	12	"아브라함과 이사악에게 주었던 이 땅을 내가 너에게 준다. 또한 너의 뒤를 이을 후손에게 준다."""
1	창세기	35	13	하느님께서는 이렇게 야곱에게 말씀하시고 그를 떠나 올라가셨다.
1	창세기	35	14	야곱은 하느님께서 자기와 말씀을 나누시던 그 곳에다 석상을 세웠다. 그는 그 돌기둥 위에 술을 붓고 또 기름을 부었다.
1	창세기	35	15	야곱은 하느님께서 자기와 말씀을 나누시던 그 곳을 베델이라 이름하였다.
1	창세기	35	16	"그들이 베델을 떠나가는 도중, 에브랏까지는 아직 얼마 더 가야 하는 데서 라헬이 몸을 풀게 되었다. 난산이었다."
1	창세기	35	17	"아기를 낳지 못해 고생하는데 산파가 ""걱정하지 마세요. 이번에도 아들입니다."" 하고 위로하는 것이었다."
1	창세기	35	18	마침내 라헬은 죽게 되어 숨을 거두면서 아기 이름을 벤오니라고 불렀다. 그러나 아기 아버지는 베냐민이라 불렀다.
1	창세기	35	19	라헬은 에브랏으로 가는 길가에 묻혔다. 에브랏은 곧 베들레헴이다.
1	창세기	35	20	야곱은 라헬의 무덤 위에 비석을 세웠다. 그것이 이 날까지 라헬의 묘비로 알려져 있다.
1	창세기	35	21	이스라엘은 다시 길을 떠나 믹달에델 건너편에 이르러 천막을 쳤다.
1	창세기	35	22	이스라엘이 그 땅에 살고 있을 때였다. 르우벤이 아버지의 소실 빌하를 범하였는데 그 이야기가 이스라엘의 귀에도 들어갔다.
1	창세기	35	23	"야곱이 레아에게서 얻은 아들은 맏아들 르우벤, 그 아래로 시므온, 레위, 유다, 이싸갈, 즈불룬이었다."
1	창세기	35	24	요셉과 베냐민은 라헬에게서 얻은 아들이다.
1	창세기	35	25	"단과 납달리는 라헬의 몸종 빌하에게서 얻은 아들이요,"
1	창세기	35	26	가드와 아셀은 레아의 몸종 질바에게서 얻은 아들이다. 이들은 야곱이 바딴아람에 있을 때에 얻은 아들들이다.
1	창세기	35	27	야곱은 마침내 아버지를 찾아 키럇아르바라고도 불리는 마므레에 이르렀다. 그 곳은 아브라함과 이사악이 몸붙여 살던 헤브론이다.
1	창세기	35	28	이사악은 백팔십 세나 살았다.
1	창세기	35	29	"이사악이 이렇게 명이 다하여 숨을 거두고 죽어 세상을 떠나 선조들 곁으로 가자, 아들 에사오와 야곱이 그를 안장하였다."
1	창세기	36	1	에돔이라고도 불리는 에사오의 계보는 아래와 같다.
1	창세기	36	2	"에사오는 아내감을 가나안의 딸들 가운데서 골라 헷족 엘론의 딸 아다와, 호리족 시브온의 손녀이며 아나의 딸인 오홀리바마와,"
1	창세기	36	3	이스마엘의 딸이며 느바욧의 누이인 바스맛을 맞아들였다.
1	창세기	36	4	"아다는 에사오에게 엘리바즈를, 바스맛은 르우엘을,"
1	창세기	36	5	오홀리바마는 여우스와 야을람과 코라를 낳아주었다. 이들은 에사오가 가나안 땅에 있을 때 얻은 아들들이다.
1	창세기	36	6	"그 후 에사오는 아내와 아들딸과 자기 집에 딸린 모든 식구들을 거느리고, 가나안 땅에서 얻은 모든 가축과 모든 재물을 포함한 그의 재산을 싣고 아우 야곱을 떠나 세일 땅으로 갔다."
1	창세기	36	7	"그들이 모은 재산이 너무 불어나 함께 살기 어렵게 되었던 것이다. 즉, 그들의 가축이 너무 많아져서 그들이 머물러 사는 땅에서 나는 것으로는 둘이 다 살아갈 수가 없었던 것이다."
1	창세기	36	8	이렇게 해서 에사오는 세일 산악 지대에 자리를 잡았는데 이 에사오를 에돔이라고도 한다.
1	창세기	36	9	세일 산악 지대에 사는 에돔의 조상 에사오의 계보는 이러하다.
1	창세기	36	10	이것이 그 아들들의 이름이다. 에사오가 아내 아다에게서 얻은 아들은 엘리바즈이고 아내 바스맛에게서 얻은 아들은 르우엘이다.
1	창세기	36	11	"엘리바즈는 아들 데만, 오말, 스보, 가아담, 크나즈를 두었다."
1	창세기	36	12	에사오의 아들 엘리바즈에겐 딤나라는 소실이 있었는데 그는 엘리바즈에게 아말렉을 낳아주었다. 이들이 에사오가 아내 아다에게서 얻은 후손들이다.
1	창세기	36	13	"르우엘은 아들 나핫, 제라, 삼마, 미짜를 두었다. 이들이 에사오가 아내 바스맛에게서 얻은 후손들이다."
1	창세기	36	14	"시브온의 손녀이며 아나의 딸인 오홀리바마가 에사오에게 낳아준 아들은 여우스, 야을람, 코라이다."
1	창세기	36	15	"에사오 후손의 추장들은 아래와 같다. 에사오의 맏아들 엘리바즈 후손의 추장으로서는 추장 데만, 추장 오말, 추장 스보, 추장 크나즈,"
1	창세기	36	16	"추장 코라, 추장 가아담, 추장 아말렉이 있었다. 이들이 에돔 땅에 퍼진 엘리바즈파의 추장들인데 그들은 아다의 피를 받은 후손들이다."
1	창세기	36	17	"에사오의 아들 르우엘 후손의 추장으로서는 추장 나핫, 추장 제라, 추장 삼마, 추장 미짜가 있었다. 이들이 에돔 땅에 퍼진 르우엘파 추장들인데, 그들은 에사오의 아내 바스맛의 피를 받은 후손들이다."
1	창세기	36	18	"에사오의 아내 오홀리바마 후손의 추장으로서는 추장 여우스, 추장 야을람, 추장 코라가 있었다. 이들이 아나의 딸로서 에사오의 아내가 된 오홀리바마의 피를 받은 추장들이다."
1	창세기	36	19	에사오의 자손과 그들의 추장들은 위와 같다. 이것이 에돔이다.
1	창세기	36	20	"세일은 호리족에 속한 사람인데 그 지방에 자리잡고 있던 그의 아들들은 로탄, 소발, 시브온, 아나,"
1	창세기	36	21	"디손, 에제르, 디산이다. 이들이 에돔 땅에 사는 세일의 아들로서 호리족의 추장을 지낸 사람들이다."
1	창세기	36	22	로탄은 아들 호리와 헤맘을 두었다. 그런데 바로 이 로탄의 누이가 딤나이다.
1	창세기	36	23	"소발은 아들 알완, 마나핫, 에발, 스보, 오남을 두었다."
1	창세기	36	24	시브온에겐 아들 아야와 아나가 있었는데 아나는 아버지의 나귀를 치다가 들판에서 온천을 발견한 바로 그 사람이다.
1	창세기	36	25	아나는 아들 디손과 딸 오홀리바마를 두었다.
1	창세기	36	26	"디손은 아들 헴단, 에스반, 이드란, 그란을 두었다."
1	창세기	36	27	"에제르에게는 아들 빌한, 자완, 아칸이 있었다."
1	창세기	36	28	디산에게는 아들 우스와 아란이 있었다.
1	창세기	36	29	"호리족의 추장을 지낸 사람으로서는 추장 로탄, 추장 소발, 추장 시브온, 추장 아나,"
1	창세기	36	30	"추장 디손, 추장 에제르, 추장 디산이 있었다. 이들이 세일 땅에 살던 호리족의 부족별 추장들이다."
1	창세기	36	31	이스라엘 백성을 다스릴 왕이 아직 일어나기 전에 에돔에는 이미 그 땅을 다스리는 왕들이 있었는데 그 이름은 아래와 같다.
1	창세기	36	32	브올의 아들 벨라가 에돔에서 왕노릇 하였는데 그의 수도 이름은 딘하바였다.
1	창세기	36	33	벨라가 죽자 보스라 출신 제라의 아들 요밥이 뒤를 이어 왕이 되었다.
1	창세기	36	34	요밥이 죽자 데만 출신 후삼이 뒤를 이어 왕이 되었다.
1	창세기	36	35	후삼이 죽자 브닷의 아들 하닷이 뒤를 이어 왕이 되었다. 하닷은 미디안을 모압 벌에서 무찌른 왕인데 그의 수도는 아윗이었다.
1	창세기	36	36	하닷이 죽자 마스레카 출신 사믈라가 뒤를 이어 왕이 되었다.
1	창세기	36	37	사믈라가 죽자 유프라테스 강 가 르호봇 출신 사울이 뒤를 이어 왕이 되었다.
1	창세기	36	38	사울이 죽자 악볼의 아들 바알하난이 뒤를 이어 왕이 되었다.
1	창세기	36	39	악볼의 아들 바알하난이 죽자 하닷이 뒤를 이어 왕이 되었다. 그의 수도 이름은 바우였고 아내 이름은 므헤타브엘이었는데 메자합의 손녀이자 마드렛의 딸이었다.
1	창세기	36	40	"에사오에게서 퍼져 나간 추장들의 씨족별, 지역별 명단은 아래와 같다. 추장 딤나, 추장 알와, 추장 여뎃,"
1	창세기	36	41	"추장 오홀리바마, 추장 엘라, 추장 비논,"
1	창세기	36	42	"추장 크나즈, 추장 데만, 추장 밉살,"
1	창세기	36	43	"추장 막디엘, 추장 이람. 이들이 에사오를 조상으로 하는 에돔 사람들의 추장들인데, 그들은 각기 상속받은 땅에서 따로따로 자리를 잡고 살았다."
1	창세기	37	1	한편 야곱은 자기 선친이 유랑민으로서 머문 적이 있던 땅 가나안에 자리를 잡았다.
1	창세기	37	2	야곱의 아들들의 이야기는 여기에서 시작된다. 요셉은 열일곱 살이 되어 형들과 함께 양을 치게 되었다. 그는 아버지의 두 소실 빌하와 질바의 아들들을 거들어주고 있다가 아버지에게 그들을 좋지 않게 일러바쳤다.
1	창세기	37	3	이스라엘은 요셉을 늘그막에 얻은 아들이라고 해서 어느 아들보다도 더 사랑하였다. 그래서 장신구를 단 옷을 지어 입히곤 하였다.
1	창세기	37	4	이렇게 아버지가 유별나게 그만을 더 사랑하는 것을 보고 형들은 미워서 정다운 말 한마디 건넬 생각이 없었다.
1	창세기	37	5	한번은 요셉이 꿈을 꾸고 그 꿈 이야기를 형들에게 했는데 그 때문에 형들은 그를 더 미워하게 되었다.
1	창세기	37	6	내가 꾼 꿈 이야기를 들어봐요. 하며 그는 이야기를 꺼냈다.
1	창세기	37	7	"글쎄, 밭에서 우리가 곡식 단을 묶고 있는데, 내가 묶은 단이 우뚝 일어서고 형들이 묶은 단이 둘러서서 내가 묶은 단에게 절을 하지 않겠어요?"
1	창세기	37	8	네가 정말 우리에게 왕노릇 할 셈이냐? 네가 정말 우리에게 주인노릇 할 셈이냐? 형들은 그 꿈 이야기를 듣자 그를 더욱 미워하게 되었다.
1	창세기	37	9	"그 후 그는 또 다른 꿈을 꾸고는 형들에게 그 이야기를 또 했다. ""글쎄, 내가 꿈을 또 꾸었는데 해와 달과 별 열 하나가 내게 절을 하더군요."""
1	창세기	37	10	"그는 아버지와 형들에게 이 이야기를 했다가 아버지에게 꾸지람을 들었다. ""네가 꾼 꿈이 대체 무엇이냐? 그래, 나와 네 어머니와 네 형제들이 너에게 나아가 땅에 엎드려 절을 할 것이란 말이냐?"""
1	창세기	37	11	"형들은 그를 질투했지만, 아버지는 그 일을 마음에 두었다."
1	창세기	37	12	"그의 형들이 아버지의 양떼에게 풀을 뜯기러 세겜으로 갔을 때,"
1	창세기	37	13	"이스라엘이 요셉에게 일렀다. ""얘야, 네 형들이 세겜에서 양을 치고 있지 않느냐? 네가 갔다 와야 하겠다."" 그가 대답하였다. ""네, 가지요."""
1	창세기	37	14	네 형들도 잘 있고 양들도 잘 있는지 알고 싶으니 가서 보고 오너라. 그는 이렇게 이르고 헤브론 골짜기에서 그를 떠나보냈다. 요셉은 세겜에 이르러
1	창세기	37	15	"들판을 헤매다가 한 사람을 만났다. 그가 ""누굴 찾느냐?"" 하고 요셉에게 물었다."
1	창세기	37	16	저의 형들을 찾고 있습니다. 요셉은 그에게 형들이 어디서 풀을 뜯기고 있는지 알거든 알려달라고 했다.
1	창세기	37	17	"그가 대답하였다. ""벌써 여기를 떠났다. 도다인으로 가자고 하는 소리를 들었다."" 이 말을 듣고 요셉은 도다인으로 찾아가 거기에서 형들을 만나게 되었다."
1	창세기	37	18	형들은 멀리서 알아보고 그가 다다르기 전에 죽이려고 음모를 꾸몄다.
1	창세기	37	19	"야, 꿈쟁이가 오는구나."
1	창세기	37	20	"저 녀석을 죽여 아무 구덩이에나 처넣고는 들짐승이 잡아먹었다고 하자. 그리고 그 꿈이 어떻게 되어가는가 보자."""
1	창세기	37	21	그러나 르우벤은 그 말을 듣고 있다가 그들의 손에서 그를 건져낼 속셈으로 목숨만은 해치지 말자고 하였다.
1	창세기	37	22	피만은 흘리지 마라. 그 녀석을 이 빈 들에 있는 구덩이에 처넣고 손만은 대지 마라. 르우벤은 그들의 손에서 요셉을 살려내어 아버지께로 되돌려보낼 생각이었다.
1	창세기	37	23	이윽고 요셉이 다다르자 그들은 요셉에게서 옷을 벗겼다. 그것은 장신구를 단 옷이었다.
1	창세기	37	24	그리고는 그를 잡아 구덩이에 처넣었는데 그 구덩이는 물 없는 빈 구덩이였다.
1	창세기	37	25	"그들이 앉아 음식을 먹는데, 마침 길르앗으로부터 낙타를 몰고 오는 이스마엘 상인들이 눈에 띄었다. 그들은 향고무와 유향과 몰약을 낙타에 싣고 이집트로 가는 길이었다."
1	창세기	37	26	"유다가 형제들에게 말하였다. ""그래도 우리 동기인데 그를 죽이고 그 피를 덮어버린다고 해서 무슨 이득이 있겠니?"
1	창세기	37	27	"그러니 그 애를 이스마엘 사람들에게 팔아버리고 우리는 손을 대지 말자. 아무래도 우리 동기요, 우리 혈육이 아니냐?"" 형제들은 그의 말을 듣기로 했다."
1	창세기	37	28	그러는 동안 미디안 상인들이 지나가다가 요셉을 구덩이에서 끌어내었다. 그들은 그를 이스마엘 사람들에게 은 이십 냥에 팔아 넘겼다. 이스마엘 사람들은 요셉을 이집트로 데리고 갔다.
1	창세기	37	29	르우벤은 구덩이로 돌아와 요셉이 그 안에 없는 것을 보고 옷을 찢으며
1	창세기	37	30	"형제들에게로 돌아가 ""그 애가 없어졌다. 난 이제 어디로 가야 하느냐!"" 하고 부르짖었다."
1	창세기	37	31	그러자 그들은 염소 한 마리를 죽이고 요셉의 옷을 가져다 그 피를 묻혔다.
1	창세기	37	32	"그리고 그 장신구로 꾸민 옷을 아버지께 보내며 말을 전하였다. ""이것을 우리가 주웠습니다. 이것이 아버님 아들의 옷인지 아닌지 잘 보십시오."""
1	창세기	37	33	"그는 그것을 곧 알아보고 외쳤다. ""내 아들의 옷이다. 들짐승이 잡아먹었구나. 요셉이 짐승들의 밥이 되다니!"""
1	창세기	37	34	"야곱은 옷을 찢고, 베옷을 몸에 걸친 채 아들을 생각하며 날이 가도 달이 가도 울기만 했다."
1	창세기	37	35	"그의 아들딸들이 모두 일어나 위로했지만 그는 위로를 받지 않고 다만 이렇게 말하는 것이었다. ""아니다, 나는 지하로 내 아들한테 울면서 내려가겠다."" 이렇게 아버지는 요셉을 생각하여 울었다."
1	창세기	37	36	한편 미디안 사람들은 이집트로 가서 파라오의 신하인 경호대장 이집트 사람 보디발에게 그를 팔아 넘겼다.
1	창세기	38	1	그 무렵에 유다는 형제들로부터 떨어져 나와 히라라 불리는 아둘람 사람에게 붙어 살았다.
1	창세기	38	2	거기서 유다는 가나안 사람 수아의 딸을 만나 아내로 삼아 한자리에 들었다.
1	창세기	38	3	그 여자는 임신하여 아들을 낳고 이름을 에르라 지어주었다.
1	창세기	38	4	그는 다시 임신하여 아들을 낳고 이름을 오난이라 지어주었고
1	창세기	38	5	다시 아들을 낳고 이름을 셀라라 지어주었다. 그가 셀라를 낳은 것은 그집이라는 곳에서였다.
1	창세기	38	6	유다는 맏아들 에르에게 아내를 얻어주었는데 그의 이름은 다말이었다.
1	창세기	38	7	유다의 맏아들 에르는 야훼의 눈 밖에 나서 죽었다.
1	창세기	38	8	유다는 오난에게 이르기를 형수에게 장가들어 시동생으로서 할 일을 하여 형의 후손을 남기라고 하였다.
1	창세기	38	9	그러나 그 씨가 자기 것이 되지 않을 줄 알고 오난은 형수와 한자리에 들었을 때 정액을 바닥에 흘려 형에게 후손을 남겨주지 않으려 하였다.
1	창세기	38	10	그가 한 이런 짓은 야훼의 눈에 거슬리는 일이었으므로 야훼께서는 그도 죽이셨다.
1	창세기	38	11	"그러자 유다는 며느리 다말에게 이렇게 말하였다. ""내 아들 셀라가 어른이 될 때까지 친정에 돌아가 홀몸으로 기다려다오."" 그마저 형들처럼 죽을까봐 걱정스러웠던 것이다. 그리하여 다말은 친정에 돌아가 살게 되었다."
1	창세기	38	12	"그 후 많은 세월이 흘러 유다의 아내, 수아의 딸이 죽었다. 유다는 상을 벗은 다음, 친구 아둘람 사람 히라와 함께 양털을 깎으러 딤나로 올라갔다."
1	창세기	38	13	한편 다말은 시아버지가 양털을 깎으러 딤나로 올라온다는 말을 전해 듣고는
1	창세기	38	14	과부의 옷차림을 벗어버리고 너울을 써서 몸을 가리우고 딤나로 가는 길가 에나임 성 문에 나가 앉았다. 셀라가 이미 어른이 되었는데도 자기를 아내로 데려가 주지 않았기 때문이었다.
1	창세기	38	15	유다는 그 여자가 얼굴을 가린 것을 보고 창녀려니 생각하였다.
1	창세기	38	16	"그래서 그는 길가에 있는 여인에게로 발길을 돌리며 수작을 건넸다. ""너한테 들러가고 싶구나. 어서 가자."" 그 여인이 바로 자기의 며느리라는 것을 알았을 리가 만무하다. 다말은 화대로 무엇을 주겠느냐고 물었다."
1	창세기	38	17	"내 양떼 가운데서 새끼 염소 한 마리를 보내마. 하고 그가 대답하였다. ""그걸 보내주실 때까지 담보물을 맡겨주세요."" 하고 그 여자가 말했다."
1	창세기	38	18	"그가 물었다. ""무슨 담보물을 주어야 하나?"" 그 여자가 대답했다. ""당신의 그 줄 달린 인장과 잡고 있는 지팡이면 됩니다."" 그래서 그것을 주고 한자리에 들었는데 마침 그의 아이를 갖게 되었다."
1	창세기	38	19	그는 돌아가 너울을 벗고 과부 옷차림으로 바꾸었다.
1	창세기	38	20	유다는 자기 친구 아둘람 사람을 시켜 새끼 염소 한 마리를 주고 그 여인에게서 담보물을 찾아오게 하였으나 그 여인은 이미 거기에 없었다.
1	창세기	38	21	"그는 그 곳 사람들에게 에나임 길 가에 있는 신전 창녀가 어디로 갔느냐고 물어보았으나, 거기에는 신전 창녀라고는 하나도 없다는 것이었다."
1	창세기	38	22	"그래서 그는 돌아와 ""그 여자를 찾지 못했네. 뿐만 아니라 그 곳에는 신전 창녀라고는 하나도 없다고 그 곳 사람들이 말하더군."" 하고 보고했다."
1	창세기	38	23	"유다가 그에게 말했다. ""그것을 가질 테면 가지라지. 우리가 공연히 웃음거리가 될 것은 없지 않나? 글쎄 보게. 새끼 염소를 보냈는데도 자넨 그 여자를 찾을 수가 없었으니...."""
1	창세기	38	24	석 달쯤 지나 유다는 며느리 다말이 창녀 짓을 하여 아이까지 가졌다는 말을 전해 듣게 되었다. 유다는 그를 끌어내어 화형에 처하라고 명령하였다.
1	창세기	38	25	"그리하여 다말은 끌려 나오게 되자 시아버지에게 전갈을 보냈다. ""이 물건들은 누구의 것입니까? 나는 그의 아이를 배었습니다. 이 줄 달린 인장과 지팡이가 누구의 것인지 보아주십시오."""
1	창세기	38	26	"유다는 그 물건들을 알아보고 ""그 애가 나보다 낫구나! 내가 내 아들 셀라에게 그 애를 아내로 맞게 하지 않았으니...."" 하고 다시는 그를 가까이하지 않았다."
1	창세기	38	27	몸을 풀 때가 다 되어 그의 태에 쌍둥이가 들어 있는 것이 나타났다.
1	창세기	38	28	"그런데 몸을 막 풀려고 하는데 한 아이가 손 하나를 내밀었다. ""이 아이가 먼저 나온 놈이다."" 산파는 그 손을 잡아 진홍 실을 매두었다."
1	창세기	38	29	"그러나 그 아이는 손을 안으로 다시 끌어들였다. 그러는 사이에 그의 아우가 나오자 ""이 밀치고 나온 놈!"" 하고 산파가 말하였다. 그래서 그의 이름을 베레스라고 지었다."
1	창세기	38	30	뒤따라 손에 진홍 실을 맨 형이 나오자 그의 이름을 제라라고 지었다.
1	창세기	39	1	요셉은 이집트로 끌려 내려갔다. 그를 끌고 내려온 이스마엘 사람에게서 파라오의 한 신하인 경호대장 이집트 사람 보디발이 그를 샀다.
1	창세기	39	2	그러나 요셉은 야훼께서 돌보아 주셨으므로 앞길이 열려 이집트 사람 주인집의 한 식구처럼 되었다.
1	창세기	39	3	주인은 야훼께서 그를 돌보아 주시는 것을 알았다. 그의 손이 닿는 것은 무엇이든지 야훼께서 잘되게 해주셨던 것이다.
1	창세기	39	4	그는 요셉이 눈에 들어 심복으로 삼고 집안 일의 관리인으로 세워 그에게 모든 것을 맡겼다.
1	창세기	39	5	온갖 일과 모든 소유를 그에게 맡기자 야훼께서는 요셉을 보아 그 이집트 사람의 집에 복을 내리셨다. 야훼의 복은 집과 밭뿐 아니라 그에게 있는 모든 것 위에 내렸다.
1	창세기	39	6	"이렇듯이 그는 자기에게 있는 모든 것을 요셉의 손에 내맡겼다. 그리고 그가 있는 한, 자신이 먹는 음식을 빼놓고는 아무것에도 마음을 쓰지 않았다. 그런데 요셉은 아주 깨끗하고 잘생긴 사나이여서"
1	창세기	39	7	얼마쯤 시간이 흐르자 주인의 아내가 눈짓을 하며 자기 침실로 가자고 꾀는 것이었다.
1	창세기	39	8	"그는 주인의 아내에게 그럴 수 없다고 사정했다. ""보시다시피 주인께서는 제가 있는 한, 집안 일에 통 마음을 쓰시지 않습니다. 당신께 있는 것을 모두 제 손에 맡겨주셨습니다."
1	창세기	39	9	"이 집안에선 제가 그분보다 실권이 더 있습니다. 마님만은 당신의 아내이기 때문에 범접할 수 없지만 그 밖의 일은 못할 것이 없습니다. 그런데 이렇게 엄청난 짓을 제가 어떻게 저지를 수 있겠습니까? 이것은 하느님께 죄가 됩니다."""
1	창세기	39	10	그러나 그는 날이면 날마다 요셉에게 수작을 걸어왔다. 요셉은 말을 듣지 않고 그와 함께 침실에 들지도 않았다.
1	창세기	39	11	하루는 그가 일을 보러 집 안으로 들어갔는데 마침 집 안에 사람이라곤 아무도 없었다.
1	창세기	39	12	그는 요셉의 옷을 붙잡고 침실로 같이 가자고 꾀었다. 그러나 요셉은 옷을 그의 손에 잡힌 채 뿌리치고 밖으로 뛰쳐나갔다.
1	창세기	39	13	요셉이 옷을 자기 손에 내버려둔 채 밖으로 뛰쳐나가는 것을 보고
1	창세기	39	14	"그는 집안 사람들을 부르며 고함을 쳤다. ""이것 좀 봐라. 주인께서 우리를 웃음거리로 만들려고 저 히브리 녀석을 데려왔구나. 그 놈이 나에게 달려들어 강간하려고 했다. 그래서 내가 고함을 질렀지!"
1	창세기	39	15	"그랬더니 그 놈은 내가 고함지르는 소리를 듣고 옷을 버려둔 채 뛰쳐나갔다."""
1	창세기	39	16	"그리고는 그 옷을 곁에 챙겨놓고 주인을 기다리다가, 그가 집에 돌아오자"
1	창세기	39	17	"이야기를 꺼내는 것이었다. ""당신이 데려온 그 히브리 종 녀석 말이어요. 글쎄 그 놈이 내 방에 들어와 나를 농락하려 하지 않겠어요?"
1	창세기	39	18	"그래서 내가 고함을 질렀더니 이렇게 옷을 버려둔 채 밖으로 뛰쳐나갔답니다."""
1	창세기	39	19	"그리고는 ""당신의 종 녀석이 나에게 이 따위 짓을 했단 말이어요."" 하고 말하는 것이었다. 이 말을 듣고 주인은 화가 치밀어 올랐다."
1	창세기	39	20	그래서 요셉의 주인은 그를 잡아 감옥에 넣었다. 그 곳은 왕의 죄수들을 가두어두는 곳이었다. 그러나 그가 감옥에 있을 때에도
1	창세기	39	21	야훼께서는 요셉을 돌보셨다. 그에게 한결같은 사랑을 쏟으시고 은총을 베푸시어 간수장의 눈에 들게 해주셨다.
1	창세기	39	22	그리하여 간수장은 감옥에 있는 모든 죄수들을 요셉의 손에 맡겨 무슨 일이고 마음대로 하게 하였다.
1	창세기	39	23	간수장은 요셉에게 모든 일을 맡겨놓고는 일절 간섭을 하지 않았다. 야훼께서 그를 돌보시어 그가 하기만 하면 무엇이든지 잘되게 해주셨던 것이다.
1	창세기	40	1	이런 일이 있은 지 얼마 되지 않아 이집트 왕에게 술잔을 드리는 시종장과 빵을 구워 올리는 시종장이 상전인 이집트 왕에게 무슨 잘못을 저지른 일이 생겼다.
1	창세기	40	2	"파라오는 술잔을 드리는 시종장과 빵을 구워 올리는 시종장, 두 사람에게 화가 나서"
1	창세기	40	3	경호대장 집에 있는 감옥에 집어넣었다. 그 곳은 바로 요셉이 갇혀 있는 곳이었다.
1	창세기	40	4	경호대장은 요셉을 지명하여 그 시종들의 시중을 들게 하였다. 그들이 감옥에 들어온 지 여러 날이 지났다.
1	창세기	40	5	"이집트 왕에게 술잔을 드리는 시종장과 빵을 구워 올리는 시종장은 어느 날 밤, 감옥에 갇힌 몸으로 같이 꿈을 꾸었는데 두 꿈은 뜻이 너무나 달랐다."
1	창세기	40	6	아침에 요셉이 그들에게 가보니 그들은 크게 근심하고 있었다.
1	창세기	40	7	"요셉은 자기 주인 집 감옥에 함께 갇혀 있는 그들 파라오의 관리들에게 물었다. ""오늘은 안색이 좋지들 못하시군요. 왜 그러십니까?"""
1	창세기	40	8	"그들이 대답하였다. ""우리가 꿈을 꾸었는데 아무도 풀어줄 사람이 없소."" 요셉은 ""꿈을 푸는 것은 하느님만이 하실 수 있는 일이 아니겠습니까?"" 하고 말하면서 자기에게 이야기해 달라고 청하였다."
1	창세기	40	9	"술잔을 드리는 시종장이 요셉에게 자기의 꿈 이야기를 들려주었다. ""내가 꿈에 보니까, 내 앞에 포도나무 한 그루가 있었소."
1	창세기	40	10	그 포도나무에는 가지가 셋이 뻗어 있었는데 싹이 나자마자 꽃들이 피고 포도송이가 익더군.
1	창세기	40	11	"내 손에는 파라오의 잔이 들려 있었소. 나는 포도를 따서 그 잔에다 짜 넣고는 그 잔을 파라오의 손에 받쳐드렸소."""
1	창세기	40	12	"그 풀이는 이렇습니다. 하며 요셉은 그에게 말해 주었다. ""가지 셋은 사흘을 말하는 것입니다."
1	창세기	40	13	앞으로 사흘이 되면 파라오께서는 당신을 불러내어 복직시킬 것입니다. 당신은 전날 술잔을 받들어 올리던 관습대로 파라오의 손에 그의 잔을 올리게 될 것입니다.
1	창세기	40	14	그러니 제발 당신이 잘되시는 날 나를 생각해 주십시오. 나에게 친절을 좀 베풀어주셔야 하겠습니다. 파라오에게 내 이야기를 하여 이 집에서 벗어나게 해주십시오.
1	창세기	40	15	"나는 억울하게 히브리 사람들의 땅에서 유괴되어 온 사람입니다. 나는 여기서도 이런 구덩이에 들어올 만한 일을 한 일이 없습니다."""
1	창세기	40	16	"그 풀이가 좋은 것을 보고 빵을 구워 올리는 시종장도 요셉에게 이야기를 했다. ""나도 꿈을 꾸었는데 흰 과자를 담은 바구니 셋을 내가 머리에 얹고 있었소."
1	창세기	40	17	"제일 위 바구니엔 파라오에게 드릴 온갖 구운 음식들이 담겨져 있었소. 그런데 새들이 내 머리에 이고 있는 그 바구니 속에서 그것들을 먹고 있더군."""
1	창세기	40	18	"그 풀이는 이렇습니다. 하며 요셉이 말해 주었다. ""바구니 셋은 사흘을 말하는 것입니다."
1	창세기	40	19	"앞으로 사흘이 되면 파라오는 당신을 불러내어 나무에 매달 것입니다. 그렇게 되면 당신의 고기를 새들이 쪼아먹게 될 것입니다."""
